question,super_category,English_translated,English_Paraphrase,French_Paraphrase
Un bail écrit est-il obligatoire en Wallonie ?,Droit immobilier,Is a written lease required in Wallonia?,Is a written lease required in Wallonia?,Un bail écrit est-il requis en Wallonie?
Je suis marié(e). Puis-je ouvrir un compte en banque sans l'accord de mon conjoint ?,Droit de la famille,I am married.Can I open a bank account without my spouse's consent?,Can I open a bank account without my spouse's consent?,Puis-je ouvrir un compte en banque sans le consentement de mon conjoint?
Quelle est la différence entre le forfait et la provision pour charges à Bruxelles ?,Droit immobilier,What is the difference between the package and the provision for expenses in Brussels?,What is the difference between the package and the provision for expenses?,Quelle est la différence entre le forfait et la provision pour dépenses?
Je suis convoqué en justice. Faut-il toujours fixer un calendrier d'échange de conclusions ?,Droit pénal,I am summoned to court. Should we always set a timetable for the exchange of conclusions?,Should we always set a timetable for the exchange of conclusions?,Faut-il toujours fixer un calendrier pour l'échange de conclusions?
Qu’entend-on par entretiens et réparations à Bruxelles ?,Droit immobilier,What is meant by interviews and repairs in Brussels?,What is the meaning of interviews and repairs in Brussels?,Quel est le sens des interviews et des réparations à Bruxelles?
Après combien de temps ma dette de crédit hypothécaire est-elle prescrite ?,Droit financier,How long is my mortgage credit debt prescribed?,How long is my mortgage credit debt?,Combien de temps dure ma dette de crédit hypothécaire ?
Qu'est-ce que je risque si j'occupe une maison sans autorisation (squat) à Bruxelles ?,Droit immobilier,What do I risk if I occupy a house without permission (squat) in Brussels?,What are the risks if I occupy a house without permission?,Quels sont les risques si j'occupe une maison sans autorisation?
Puis-je donner par testament tous mes biens à ma filleule ?,Droit financier,Can I give by will all my possessions to my goddaughter?,Can I give my possessions to my goddaughter?,Puis-je donner mes biens à ma filleule ?
Je me marie. Dois-je aider mon conjoint s'il est dans le besoin ?,Droit de la famille,Do I have to help my spouse if he's in need?,Do I have to help my spouse?,Dois-je aider mon conjoint?
Après combien de temps ma dette de redevance télévision est-elle prescrite ?,Droit financier,How long after my TV royalty debt is prescribed?,How long after my TV royalty debt is prescribed?,Combien de temps après que ma dette de redevances TV soit prescrite?
Je suis témoin d'une infraction. Puis-je dénoncer à la police une infraction dont je suis témoin ?,Droit pénal,"I'm a witness to an offence, can I report to the police an offence I'm witnessing?",Can I report an offence I'm witnessing to the police?,Puis-je signaler une infraction dont je suis témoin à la police ?
Devant quel tribunal aller en cas de problème lié à la filiation ?,Droit de la famille,Which court should you go to if there's a problem with filiation?,"If there is a problem with filiation, which court should you go to?","S'il y a un problème de filiation, à quel tribunal devriez-vous aller ?"
Puis-je dénoncer au parquet une infraction dont je suis témoin ?,Droit pénal,May I report to the Public Prosecutor's Office an offence of which I am a witness?,May I report an offence that I am a witness to the Public Prosecutor's Office?,Puis-je signaler une infraction que je suis témoin du ministère public ?
Faut-il un permis de location à Bruxelles ?,Droit immobilier,Do you need a rental permit in Brussels?,Do you need a rental permit?,Vous avez besoin d'un permis de location ?
"Nous ne sommes pas mariés, quel nom portera notre enfant si son père le reconnaît avant ou à sa naissance ?",Droit de la famille,"We are not married, what name will our child bear if his father recognizes him before or at birth?",What name will our child be given if his father recognizes him before or at birth?,Quel nom sera donné à notre enfant si son père le reconnaît avant ou à la naissance?
"J'ai signé une déclaration de cohabitation légale. En cohabitation légale, qui doit payer le remboursement du prêt voiture ?",Droit de la famille,"I signed a declaration of legal cohabitation. In legal cohabitation, who has to pay the refund of the car loan?",I signed a declaration of legal cohabitation.,J'ai signé une déclaration de cohabitation légale.
Dois-je installer des détecteurs incendie en Wallonie ?,Droit immobilier,Do I have to install fire detectors in Wallonia?,Do I have to install fire detectors in Wallonia?,Dois-je installer des détecteurs d'incendie en Wallonie ?
Que se passe-t-il s'il n'y a pas d'état des lieux à Bruxelles ?,Droit immobilier,What happens if there is no state of affairs in Brussels?,"If there is no state of affairs, what will happen?","S'il n'y a pas de situation, que se passera-t-il ?"
En quoi suis-je responsable de mon enfant ?,Droit de la famille,How am I responsible for my child?,How am I responsible for my child?,Comment suis-je responsable de mon enfant ?
Quels sont les types de garantie locative à Bruxelles ?,Droit immobilier,What are the types of rental guarantees in Brussels?,What are the types of rental guarantees in the city?,Quels sont les types de garanties de location dans la ville?
"J'héberge un ami/un proche. Mon ami a abîmé mon habitation, qui doit faire les réparations ?",Droit immobilier,"I'm hosting a friend/friend. My friend damaged my home, who needs to do the repairs?","My friend damaged my home, who needs to do the repairs?","Mon ami a endommagé ma maison, qui doit faire les réparations ?"
Un bail écrit est-il obligatoire à Bruxelles ?,Droit immobilier,Is a written lease required in Brussels?,Is a written lease required in Brussels?,Un bail écrit est-il requis à Bruxelles?
Mon conjoint vient de décéder. Quels sont mes droits dans sa succession ?,Droit financier,"My spouse just died, what are my rights in his estate?",What are my rights after my spouse died?,Quels sont mes droits après la mort de mon conjoint ?
Je suis marié(e). Faut-il prendre une assurance RC familiale ?,Droit de la famille,I'm married. Should I take a family RC insurance?,Is it a good idea to take family RC insurance?,Est-ce une bonne idée de prendre une assurance RC familiale ?
Les parents ne sont pas mariés ensemble. Peut-on me réclamer une aide financière pour l'enfant si je suis son père biologique mais pas légal ?,Droit de la famille,The parents are not married together. Can I be asked for financial assistance for the child if I am his biological father but not legal?,"If I am his biological father but not legal, can I be asked for financial assistance for the child?","Si je suis son père biologique mais pas légal, peut-on me demander une aide financière pour l'enfant ?"
Je pense que mon logement est insalubre. Je m'adresse au juge de paix. Quels sont les moyens dont dispose le juge pour se rendre compte de l'état du logement ?,Droit immobilier,I think my accommodation is unsanitary. I address the justice of the peace. What are the means available to the judge to see the state of the accommodation?,I address the justice of the peace and I think my accommodations are unsanitary.,Je m'adresse à la justice de la paix et je pense que mes accommodements sont insalubres.
Je vis avec ma famille en Belgique. Je deviens cohabitant légal. Puis-je venir en Belgique pour faire une déclaration de cohabitation légale ?,Droit des étrangers,I live with my family in Belgium. I become a legal cohabitant. Can I come to Belgium to make a declaration of legal cohabitation?,Can I come to Belgium to make a declaration of legal cohabitation?,Puis-je venir en Belgique pour faire une déclaration de cohabitation légale ?
Un colocataire seul peut-il mettre fin au bail officiel de colocation avant l'échéance à Bruxelles ?,Droit immobilier,Can a single roommate terminate the official rental lease before the deadline in Brussels?,Is it possible for a single roommate to end their official rental lease before the deadline?,Est-il possible qu'un colocataire célibataire mette fin à son bail de location officiel avant la date limite?
Je reçois les confidences en tant que professionnel. Comment savoir si je suis tenu au secret professionnel ?,Droit du travail,I get the confidences as a professional. How do I know if I'm bound to professional secrecy?,"I get the confidences as a professional, how do I know if I'm bound to professional secrecy?","J'ai les confidences en tant que professionnel, comment savoir si je suis lié au secret professionnel ?"
Je reçois les confidences en tant que professionnel. Qu'est-ce que je risque si je viole le secret professionnel ?,Droit du travail,I get the confidences as a professional.,I get the confidences as a professional.,J'ai la confiance en tant que professionnel.
Je me confie à un professionnel. Quels sont mes recours si un professionnel révèle les informations que je lui ai confiées ?,Droit du travail,I confide in a professional. What are my remedies if a professional discloses the information I entrusted to him?,"If a professional spills the beans, what are my remedies?","Si un professionnel renverse les haricots, quels sont mes remèdes ?"
Je suis parent. Jusque quel âge dois-je continuer de payer une contribution alimentaire ?,Droit de la famille,How old do I have to continue to pay a food contribution?,I don't know how old I have to pay a food contribution.,Je ne sais pas à quel âge je dois payer une contribution alimentaire.
Comment introduire un recours contre la décision d’un organisme de sécurité sociale ?,Droit de la protection sociale,How can we appeal against the decision of a social security body?,How can we challenge the decision of a social security body?,Comment contester la décision d'un organisme de sécurité sociale?
"Je suis victime de violences conjugales. Après le dépôt de plainte, que peut décider le parquet ?",Droit de la famille,I'm a victim of domestic violence.,I'm a victim of domestic violence.,Je suis victime de violence familiale.
"Je me suis bagarré à la fin d’une soirée, qu’est-ce que je risque ?",Droit pénal,"I got into a fight at the end of a party, what's the risk?",I got into a fight at the end of a party.,Je me suis battu à la fin d'une fête.
Je pense que mon logement est insalubre. Je m'adresse à la Région wallonne ou à la commune compétente en vue de faire réaliser une enquête de salubrité et de surpeuplement. Qui peut réaliser l'enquête de salubrité en Wallonie ?,Droit immobilier,I think my accommodation is unsanitary. I address the Walloon Region or the competent municipality with a view to carrying out a health and overcrowding survey. Who can carry out the health survey in Wallonia?,I want to carry out a health and overcrowding survey in the Walloon Region.,Je veux réaliser une enquête sur la santé et le surpeuplement dans la région wallonne.
Je me sépare. Les mesures urgentes et provisoires prises par le juge de la famille sont-elles limitées dans le temps pour les cohabitants légaux ?,Droit de la famille,Are the urgent and temporary measures taken by the family judge limited in time for legal cohabitants?,Is the urgent and temporary measures taken by the family judge limited in time for legal cohabitants?,Les mesures urgentes et temporaires prises par le juge de la famille sont-elles limitées dans le temps pour les cohabitants légaux?
Je suis travailleuse salariée. Quand dois-je avertir mon employeur de ma grossesse ?,Droit de la protection sociale,When should I notify my employer of my pregnancy?,When should I tell my employer that I'm pregnant?,Quand dois-je dire à mon employeur que je suis enceinte ?
Qu'est-ce que le règlement collectif de dettes (RCD) ?,Droit financier,What is Collective Debt Resolution (CDR)?,What is Collective Debt Resolution?,Qu'est-ce que la résolution collective de la dette?
Je deviens cohabitant légal. Devons-nous faire une convention de cohabitation légale ?,Droit de la famille,"I'm becoming a legal cohabitant, do we have to make a legal cohabitation agreement?",Do we have to make a legal cohabitation agreement?,Devons-nous conclure un accord de cohabitation légale?
J'ai signé une déclaration de cohabitation légale. Nous sommes cohabitants légaux. Qui doit rembourser le crédit hypothécaire ?,Droit de la famille,I signed a declaration of legal cohabitation. We are legal cohabitants. Who has to repay the mortgage credit?,"We are legal cohabitants, who has to repay the mortgage credit?","Nous sommes cohabitants légaux, qui doit rembourser le crédit hypothécaire?"
Peut-on saisir mes chèques-repas ?,Droit financier,Can we get my lunchchecks?,Can we get my lunchchecks?,On peut avoir mes chèques déjeuner ?
Quelle est la mission du bourgmestre en matière d'insalubrité en Wallonie ?,Droit immobilier,What is the mayor's mission in terms of unsanitaryness in Wallonia?,What is the mayor's goal in terms of unsanitaryness in Wallonia?,Quel est l'objectif du maire en termes d'insalubrité en Wallonie ?
Quel est le rôle du parquet en matière pénale ?,Droit pénal,What is the role of the Public Prosecutor in criminal matters?,What is the role of the public prosecutor?,Quel est le rôle du ministère public?
Je suis hébergé. Mon compagnon peut-il me mettre à la porte de notre logement si je n'ai pas signé le contrat de bail ?,Droit immobilier,Can my companion put me at the door of our house if I haven't signed the lease agreement?,"If I don't sign the lease agreement, can my companion put me at the door?","Si je ne signe pas le contrat de location, mon compagnon peut-il me mettre à la porte ?"
Mon logement est reconnu inhabitable à cause de l'insalubrité. Mon logement fait l'objet d'un arrêté d'inhabitabilité à cause de l'insalubrité. Doit-on me reloger en Wallonie ?,Droit immobilier,My accommodation is recognized as uninhabitable because of unsanitaryness. My accommodation is subject to an uninhabitable order because of unsanitaryness. Should I be relocated to Wallonia?,My accommodations are subject to an uninhabitable order because of unsanitaryness.,Mes logements sont sujets à un ordre inhabitable à cause de l'insalubrité.
Puis-je changer d'avocat désigné si je ne suis pas satisfait ?,Droit pénal,Can I change my designated lawyer if I'm not satisfied?,Can I change my lawyer if I'm not satisfied?,Puis-je changer d'avocat si je ne suis pas satisfait ?
Comment et à quelle fréquence s'organisent les visites de domicile en Wallonie ?,Droit immobilier,How and how often do home visits take place in Wallonia?,How often do home visits take place in Wallonia?,À quelle fréquence les visites à domicile ont-elles lieu en Wallonie?
Est-ce que je dois installer des détecteurs incendie en Wallonie ?,Droit immobilier,Do I have to install fire detectors in Wallonia?,Do I have to install fire detectors in Wallonia?,Dois-je installer des détecteurs d'incendie en Wallonie ?
Je vis avec ma famille en Belgique. Je me marie. Peut-on m'expulser si je vais à la commune pour me marier ?,Droit des étrangers,I live with my family in Belgium. I get married. Can I be expelled if I go to the commune to get married?,Can I be kicked out of Belgium if I go to get married?,Puis-je être viré de Belgique si je vais me marier ?
Les parents ne sont pas mariés ensemble. Puis-je être considéré comme le père de mon enfant décédé à la naissance ?,Droit de la famille,The parents are not married together. Can I be considered the father of my child who died at birth?,The parents are not married.,Les parents ne sont pas mariés.
Puis-je choisir personnellement mon avocat ?,Droit pénal,Can I personally choose my lawyer?,Can I choose my lawyer?,Puis-je choisir mon avocat ?
"Mon voisin refuse de vendre sa mitoyenneté, que dois-je faire ?",Droit immobilier,"My neighbor refuses to sell his attachment, what should I do?",What should I do when my neighbor refuses to sell his attachment?,Que dois - je faire quand mon voisin refuse de vendre son attachement?
Je me marie. Sommes-nous obligés de faire un contrat de mariage ?,Droit de la famille,Do we have to make a marriage contract?,Do we need to make a marriage contract?,Devons-nous conclure un contrat de mariage ?
Qui exerce l'autorité parentale si aucun des parents ne peut prendre de décisions ?,Droit de la famille,Who exercises parental authority if none of the parents can make decisions?,"If none of the parents can make decisions, who exercises parental authority?","Si aucun des parents ne peut prendre de décision, qui exerce l'autorité parentale?"
Quels sont les revenus pris en considération pour l'aide juridique si je vis avec d'autres personnes ?,Droit pénal,What income is considered for legal aid if I live with others?,"If I live with others, what income is considered for legal aid?","Si je vis avec d'autres, quel revenu est considéré pour l'aide juridique?"
J'ai divorcé pour cause de désunion irrémédiable. Puis-je indexer la pension alimentaire Comment calculer cette indexation ?,Droit de la famille,I have divorced because of irretrievable disunity. Can I index support How do I calculate this indexation?,I have divorced because of irretrievable disunity.,J'ai divorcé à cause d'une désunion irrémédiable.
L'allocation pour l'aide aux personnes âgées (APA) diminue-t-elle si je vis avec d'autres personnesà Bruxelles ?,Droit immobilier,Does the elderly assistance allowance (APA) decrease if I live with other people in Brussels?,Does the elderly assistance allowance decrease if I live with other people?,L'allocation d'aide aux personnes âgées diminue-t-elle si je vis avec d'autres personnes?
Je vis avec ma famille en Belgique. J'ai un enfant en Belgique. Je suis étranger. La reconnaissance d'un enfant se fait-elle de la même manière pour un Belge ou pour un étranger ?,Droit des étrangers,I live with my family in Belgium. I have a child in Belgium. I am a foreigner. Is the recognition of a child in the same way for a Belgian or a foreigner?,I am a foreigner with a child in Belgium.,Je suis un étranger avec un enfant en Belgique.
Pour quels problèmes faire appel à un médiateur familial ?,Droit de la famille,What are the problems of using a family mediator?,What are the problems of a family mediation?,Quels sont les problèmes d'une médiation familiale?
J'introduis une demande en justice. Que se passe-t-il si mon adversaire ne vient pas à la première audience ?,Droit pénal,What happens if my opponent doesn't come to the first hearing?,"If my opponent doesn't come to the first hearing, what happens?","Si mon adversaire ne vient pas à la première audience, que se passe-t-il ?"
Les parents ne sont pas mariés ensemble. Puis-je reconnaître mon enfant avant sa naissance et comment faire ?,Droit de la famille,Parents are not married together. Can I recognize my child before she is born and how to do it?,Parents are not married together.,Les parents ne sont pas mariés ensemble.
Je vis avec ma famille en Belgique. Je me marie. Puis-je me marier en Belgique ?,Droit des étrangers,I live with my family in Belgium. I'm getting married. Can I get married in Belgium?,Can I get married in Belgium?,Je peux me marier en Belgique ?
Puis-je demander qu’on enlève certaines mentions de mon casier judiciaire ?,Droit pénal,May I ask that certain records be removed from my criminal record?,Is it possible for me to ask that certain records be removed from my criminal record?,Est-il possible pour moi de demander que certains dossiers soient retirés de mon casier judiciaire?
Après combien de temps ma facture de gaz et d'électricité est-elle prescrite en Wallonie ?,Droit financier,After how long is my gas and electricity bill prescribed in Wallonia?,How long is my electricity and gas bill in Wallonia?,Combien de temps dure ma facture d'électricité et de gaz en Wallonie ?
Je divorce. Je divorce par consentement mutuel. Comment se passe la procédure de divorce par consentement mutuel ?,Droit de la famille,I divorce. I divorce by mutual consent. How is the divorce procedure by mutual consent?,I divorce by mutual consent.,Je divorce par consentement mutuel.
Dois-je payer quelque chose si j'ai droit à l'aide juridique (ex pro deo) ?,Droit pénal,Do I have to pay anything if I am entitled to legal aid (ex pro deo)?,"If I am entitled to legal aid, do I have to pay anything?","Si j'ai droit à l'aide juridique, dois-je payer quelque chose?"
Je me suis porté caution pour une personne endettée qui ne veut pas introduire de RCD. Que puis-je faire ?,Droit financier,I bailed for someone in debt who doesn't want to introduce RCD. What can I do?,"Someone in debt who doesn't want to introduce RCD, what can I do?","Quelqu'un endetté qui ne veut pas présenter le RCD, que puis-je faire ?"
Le juge choisit-il d'office l'hébergement égalitaire ?,Droit de la famille,Does the judge automatically choose egalitarian accommodation?,Does the judge have to choose?,Le juge doit-il choisir?
Je me sépare. Peut-on se séparer d'un commun accord sans déclaration de fin de cohabitation légale ?,Droit de la famille,Can we split up by mutual agreement without a declaration of termination of legal cohabitation?,Is it possible to split up by mutual agreement without a declaration of legal cohabitation?,Est-il possible de se séparer d'un commun accord sans déclaration de cohabitation légale?
Je vis avec ma famille en Belgique. J'ai un enfant en Belgique. Je suis en séjour illégal. Puis-je reconnaître mon enfant en Belgique ?,Droit des étrangers,I live with my family in Belgium. I have a child in Belgium. I am in an illegal stay. Can I recognize my child in Belgium?,I live with my family in Belgium.,Je vis avec ma famille en Belgique.
Quelles charges dois-je payer en tant que locataire à Bruxelles ?,Droit immobilier,What expenses do I have to pay as a tenant in Brussels?,What expenses do I have to pay as a tenant?,Quelles dépenses dois-je payer en tant que locataire?
Dois-je éternellement héberger mon enfant ?,Droit de la famille,Do I have to live forever with my child?,Do I have to live with my child forever?,Dois-je vivre avec mon enfant pour toujours ?
Les créanciers peuvent-ils s'opposer à ce que la personne nommée par le juge soit médiateur de dettes du RCD ?,Droit financier,Can creditors object to the person appointed by the judge being the debt mediator of the RCD?,Can the person appointed by the judge be the debt mediator of the RCD be objected to by the creditor?,"La personne nommée par le juge peut-elle être le médiateur de la dette du RCD, mais le créancier peut-il s'y opposer?"
Peut-on m’interdire d’écouter ma musique avec le volume au maximum ?,Droit immobilier,Can I not listen to my music with the maximum volume?,Is it possible to not listen to my music with the highest volume?,Est-il possible de ne pas écouter ma musique avec le plus grand volume ?
Je suis marié(e). Dois-je vivre sous le même toit que mon époux(se) ?,Droit de la famille,I am married. Do I have to live under the same roof as my husband?,Do I have to live under the same roof as my husband?,Dois-je vivre sous le même toit que mon mari ?
"L'arbre de mon voisin a plus de 30 ans, puis-je demander son arrachage ?",Droit immobilier,"My neighbor's tree is over 30 years old, can I ask for his grubbing-up?",Is my neighbor's tree over 30 years old?,L'arbre de mon voisin a-t-il plus de 30 ans ?
Que faire si je me sépare ou si je divorce lors de mon règlement collectif de dettes ?,Droit financier,What if I split up or divorce in my collective debt settlement?,What if I divorce in my debt settlement?,Et si je divorce dans mon règlement de la dette ?
Je divorce. Je divorce par consentement mutuel. Qu'est-ce que le divorce par consentement mutuel ?,Droit de la famille,I divorce. I divorce by mutual consent. What is divorce by mutual consent?,I divorce by mutual consent.,Je divorce par consentement mutuel.
Je suis majeur. Je suis marié à un/une Belge. A quelles conditions puis-je demander la nationalité belge si je suis marié à un/une Belge ?,Droit des étrangers,I am an adult. I am married to a Belgian. Under what conditions can I apply for Belgian nationality if I am married to a Belgian?,I am an adult and married to a Belgian.,Je suis un adulte et marié à un Belge.
Je suis travailleur salarié(e). Dois-je signaler ma grossesse à l'entretien d'embauche ?,Droit du travail,I am a salaried worker. Do I have to report my pregnancy at the job interview?,Do I have to tell the interviewer that I'm pregnant at the job interview?,Dois-je dire à l'intervieweur que je suis enceinte à l'entretien d'embauche ?
Je me sépare. Comment la cohabitation légale prend-elle fin ?,Droit de la famille,How does legal cohabitation end?,How does legal cohabitation end?,Comment la cohabitation légale se termine-t-elle?
A quelles conditions ai-je droit à l’allocation pour l’aide aux personnes âgées (APA) ?,Droit de la protection sociale,Under what conditions do I qualify for the Elderly Assistance (APA) allowance?,What conditions do I need to meet to be eligible for the elderly assistance allowance?,Quelles conditions dois-je remplir pour être admissible à l'allocation d'aide aux personnes âgées?
Comment solutionner mon conflit de voisinage ?,Droit immobilier,How can I resolve my neighbourhood conflict?,How can I resolve the conflict in my neighborhood?,Comment puis-je résoudre le conflit dans mon quartier ?
Puis-je arrêter ma guidance/gestion budgétaire ?,Droit financier,Can I stop my budget guidance/management?,Can I stop my budget guidance?,Puis-je arrêter mon orientation budgétaire?
Quelles tâches vais-je effectuer pour ma peine de travail ?,Droit pénal,What tasks will I perform for my work sentence?,I don't know what tasks to perform for my work sentence.,Je ne sais pas quelles sont les tâches à accomplir pour mon travail.
Je me marie. A quelles conditions puis-je me marier en Belgique ?,Droit de la famille,"I'm getting married, on what terms can I get married in Belgium?",On what terms can I get married in Belgium?,À quelles conditions puis-je me marier en Belgique ?
Où et comment introduire la demande de mise sous administration de biens et/ou de la personne ?,Droit de la famille,Where and how to apply for the administration of property and/or the person?,Where and how to apply for the administration of property and the person?,Où et comment présenter une demande d'administration des biens et de la personne?
"Je me sépare. On se sépare, qui doit payer le loyer ?",Droit de la famille,"We split up, who has to pay the rent?",Who has to pay the rent?,Qui doit payer le loyer ?
Mon propriétaire peut-il mettre fin au bail à vie à Bruxelles ?,Droit immobilier,Can my owner put an end to the life lease in Brussels?,Can my owner end the life lease in Brussels?,Mon propriétaire peut-il mettre fin à la vie à Bruxelles ?
Ai-je droit à l'aide juridique (ex pro deo) si je suis détenu ou interné ?,Droit pénal,Am I entitled to legal aid (ex pro deo) if I am detained or interned?,Is it possible that I am entitled to legal aid if I am imprisoned?,Est-il possible que j'aie droit à l'aide juridique si je suis emprisonné?
Je reçois les confidences en tant que professionnel. Le secret professionnel couvre-t-il ce que la personne ne m'a pas confié ?,Droit du travail,I receive the confidences as a professional. Does professional secrecy cover what the person has not entrusted to me?,I receive the confidences as a professional.,Je reçois les confidences en tant que professionnel.
"Si j'ai commis des erreurs, le juge peut-il m'accorder le règlement collectif de dettes (RCD) ?",Droit financier,"If I have made mistakes, can the judge grant me collective debt settlement (CDR)?",Can the judge grant me a collective debt settlement if I have made mistakes?,Le juge peut-il m'accorder un règlement collectif de la dette si j'ai fait des erreurs?
Une personne sous administration de biens et/ou de la personne peut-elle signer un bail en Wallonie ?,Droit immobilier,Can a person under the administration of property and/or the person sign a lease in Wallonia?,Can a person under the administration of property sign a lease in Wallonia?,Une personne sous administration de biens peut-elle signer un bail en Wallonie?
Je suis convoqué en justice. Qu'est-ce qu'une requête ?,Droit pénal,What is a motion?,What is a motion?,Qu'est-ce qu'une motion?
Je n'ai pas signé de bail. Quels sont mes droits à Bruxelles ?,Droit immobilier,I didn't sign a lease. What are my rights in Brussels?,I didn't sign a lease.,Je n'ai pas signé de bail.
"Je me sépare. En tant que cohabitants légaux, quelles sont les conséquences de notre séparation sur nos droits et devoirs l’un envers l’autre ?",Droit de la famille,"As a legal cohabitant, what are the consequences of our separation on our rights and duties to one another?",What are the consequences of our separation on our rights and duties to one another as a legal cohabitant?,Quelles sont les conséquences de notre séparation sur nos droits et devoirs les uns envers les autres en tant que cohabitant légal?
Mon propriétaire peut-il faire des travaux alors que j’occupe le logement à Bruxelles ?,Droit immobilier,Can my owner do any work while I occupy the accommodation in Brussels?,Can my owner do any work while I'm in Brussels?,Mon propriétaire peut-il travailler pendant que je suis à Bruxelles ?
"Mon enfant est mort-né, peut-on déclarer sa naissance ?",Droit de la protection sociale,"My child is stillborn, can we declare his birth?",Can we declare my child's birth?,Est-ce qu'on peut déclarer la naissance de mon enfant ?
Que faire si le propriétaire refuse de libérer la garantie locative à Bruxelles ?,Droit immobilier,What if the owner refuses to release the rental guarantee in Brussels?,What if the owner doesn't release the rental guarantee?,Et si le propriétaire ne libère pas la garantie de location ?
Mon enfant majeur qui vit chez moi bénéficie-t-il toujours de mon assurance ?,Droit financier,Does my adult child who lives at home still benefit from my insurance?,Does my adult child still benefit from my insurance?,Mon enfant adulte bénéficie-t-il encore de mon assurance ?
Je suis parent. Peut-on régler à l'amiable les problèmes liés à la contribution alimentaire ?,Droit de la famille,I'm a parent. Can we settle the problems of the food contribution amicably?,"I'm a parent, can we amicably resolve the food contribution problems?","Je suis un parent, peut-on résoudre à l'amiable les problèmes de contribution alimentaire ?"
Je pense que mon logement est insalubre. Je m'adresse au juge de paix. Comment introduire ma demande auprès du juge de paix en cas d'insalubrité ?,Droit immobilier,I think my accommodation is unsanitary. I address the justice of the peace. How do I apply to the justice of the peace in case of unsanitaryness?,"In case of unsanitaryness, how do I apply to the justice of the peace?","En cas d'insalubrité, comment puis-je m'appliquer à la justice de la paix?"
Je vis avec ma famille en Belgique. Je me marie. L'officier d'état civil peut-il refuser mon mariage ?,Droit des étrangers,I live with my family in Belgium. I'm getting married. Can the registrar refuse my marriage?,I live with my family in Belgium and I'm getting married.,Je vis avec ma famille en Belgique et je vais me marier.
Que se passe-t-il si je ne me présente pas à l’audience devant le tribunal de police ?,Droit pénal,What happens if I don't appear before the police court?,What happens if I don't show up for court?,Que se passe-t-il si je ne viens pas au tribunal ?
Mon propriétaire peut-il mettre fin au bail de 9 ans pour que ses enfants occupent le logement à Bruxelles ?,Droit immobilier,Can my owner terminate the nine-year lease for his children to occupy the accommodation in Brussels?,Is it possible for my owner to end the lease for his children to live in Brussels?,Est-il possible pour mon propriétaire de mettre fin au bail pour que ses enfants vivent à Bruxelles?
Je reçois les confidences en tant que professionnel. Que faire si je ne suis pas sûr(e) d'être dans les conditions pour lever le secret professionnel ?,Droit du travail,I get the confidences as a professional. What if I'm not sure I'm in the conditions to lift the professional secrecy?,I get the confidences that come with being a professional.,J'ai la confiance qui vient d'être un professionnel.
Je suis majeur. Je suis apatride. Comment obtenir le statut d'apatride ?,Droit des étrangers,I'm an adult. I'm stateless. How do I get stateless status?,"I'm stateless, how do I get it?","Je suis apatride, comment je l'obtiens ?"
Quelles sont les sanctions si j’ai cassé une voiture ?,Droit pénal,What are the penalties if I broke a car?,What are the consequences if I break a car?,Quelles sont les conséquences si je casse une voiture ?
Est-ce que certaines mentions du casier judiciaire s’effacent au bout d’un certain temps ?,Droit pénal,Do any records of the criminal record disappear after a certain period of time?,Do criminal records disappear after a certain period of time?,Les casiers judiciaires disparaissent-ils après une certaine période de temps?
Dois-je installer des détecteurs incendie en Wallonie ?,Droit immobilier,Do I have to install fire detectors in Wallonia?,Do I have to install fire detectors in Wallonia?,Dois-je installer des détecteurs d'incendie en Wallonie ?
Je suis majeur. Je fais valoir des mérites exceptionnels. Comment introduire une demande de naturalisation sur base de mérites exceptionnels ?,Droit des étrangers,"I'm an adult, and I'm putting on exceptional merits. How can I apply for naturalization on the basis of exceptional merits?","I put on exceptional merits, how can I apply for naturalization?","J'ai mis sur des mérites exceptionnels, comment puis-je demander la naturalisation?"
Je me marie. Quelles démarches dois-je effectuer pour pouvoir me marier ?,Droit de la famille,What steps do I have to take to get married?,What steps do I need to take to get married?,Quelles mesures dois-je prendre pour me marier?
Qu'est-ce qu'une obligation alimentaire ?,Droit de la famille,What is a maintenance obligation?,What is a maintenance obligation?,Qu'est-ce qu'une obligation d'entretien?
Je suis marié(e). Les biens que je possédais avant le mariage deviennent-ils communs ?,Droit de la famille,I am married. Do the property I owned before marriage become common?,Do the property I owned before I married become common?,Est-ce que la propriété que j'ai possédée avant mon mariage devient commune?
Qu'est-ce que la saisie immobilière ?,Droit financier,What is Real Estate Seizure?,What is Real Estate Seizure?,Qu'est-ce que la saisie immobilière?
Je reçois les confidences en tant que professionnel. Peut-on me poursuivre pour violation du secret professionnel si j'ai révélé des informations par imprudence ?,Droit du travail,I receive the confidences as a professional. Can I be prosecuted for breach of professional secrecy if I have disclosed information by recklessness?,I receive the confidences as a professional.,Je reçois les confidences en tant que professionnel.
Mon propriétaire peut-il résilier mon contrat de bail si je ne paie plus mon loyer ?,Droit financier,Can my landlord cancel my lease if I don't pay my rent anymore?,Can my landlord cancel my lease if I don't pay my rent?,Mon propriétaire peut-il annuler mon bail si je ne paie pas mon loyer?
Je suis séparé de mon mari/ma femme. Dois-je payer une pension alimentaire ?,Droit de la famille,I'm separated from my husband/wife. Do I have to pay alimony?,Do I have to pay alimony?,Dois-je payer une pension alimentaire ?
