query,super_category
Can the owner increase the rent for my student lease?,Droit immobilier
What are the risks of accepting work in the dark if I am out of a job?,Droit de la protection sociale
How do I calculate the indexation of my rent in Brussels?,Droit immobilier
Can I have a free first legal advice (first line legal aid)?,Droit pénal
Is it possible that I am paid during the process?,Droit du travail
I make sure the owner has a permit.,Droit immobilier
I'm bringing a case to court. Who can I ask for information about the legal proceedings?,Droit pénal
My friend's a resident of my house.,Droit financier
What if we agree on certain points but not on everything?,Droit de la famille
What if my opponent doesn't respect the court decision?,Droit pénal
Can I not pay my last two months of rent in order to get the rental guarantee?,Droit immobilier
What responsibilities can I take on as a guardian in relation to MENA?,Droit des étrangers
Parents are not married together.,Droit de la famille
I divorce by mutual consent.,Droit de la famille
Is there a maximum amount for the rental guarantee in Brussels?,Droit immobilier
"I have a procedure abroad, what to do?",Droit pénal
What is a maintenance obligation?,Droit de la famille
Can I present myself alone or should I be accompanied by a lawyer before the police court?,Droit pénal
Do I have to help my spouse if he or she is in need?,Droit de la famille
Can we claim rent from a roommate?,Droit immobilier
"What are my rights (remuneration, schedules, etc.) if I resume part-time work following a reintegration journey?",Droit de la protection sociale
What rights do my partner have over our children born in a free union?,Droit de la famille
Why should the child be declared to the commune?,Droit de la protection sociale
What if my opponent doesn't respect the court decision?,Droit pénal
The parents are not married to each other.,Droit de la famille
Can my landlord cancel my lease if I don't pay my rent anymore?,Droit financier
"I'm an employer, can I hire an illegal alien?",Droit des étrangers
I don't know how old I have to pay a food contribution.,Droit de la famille
Do I have to register with the National Bank if I don't pay my consumer credit anymore?,Droit financier
Can I divorce my husband if I am a victim of domestic violence?,Droit de la famille
Can this offer to pay without prosecution be made if I have committed a crime?,Droit pénal
Do I have the right to a lawyer?,Droit des étrangers
Who can be designated as a guardian?,Droit de la famille
Who can get a residence permit if the child is born in Belgium?,Droit des étrangers
"I'm divorced because of irretrievable disunity, and we're in agreement to divorce.",Droit de la famille
What if I disagree with the decision of the CPAS in Wallonia?,Droit immobilier
What is the mayor's goal in terms of unsanitaryness in Wallonia?,Droit immobilier
May I turn to the justice of the peace to settle a rental dispute?,Droit immobilier
"I'm in collective debt settlement, what if I inherit?",Droit financier
What is a seizure?,Droit financier
There is a timetable for the exchange of findings.,Droit pénal
How is the appeal going?,Droit pénal
How do we know if there is a joint?,Droit immobilier
Do I have to install fire detectors in Wallonia?,Droit financier
Is everything I tell the professional covered by professional confidentiality?,Droit du travail
Do I have to worry about my son's food contribution if my ex comes into debt settlement?,Droit de la famille
"I'm a grandparent, do I have any contact with my grandchildren?",Droit de la famille
What kind of sanctions do I face if I work in the dark?,Droit du travail
What if I'm having trouble paying back my friend?,Droit financier
"If I'm late for payment in Wallonia, can my owner expel me?",Droit immobilier
Where am I going to have to work for my work sentence?,Droit pénal
I'm a victim of domestic violence.,Droit de la famille
Is it possible for the employer of my ex to pay me the maintenance contribution?,Droit de la famille
What is the state of play in Brussels for?,Droit immobilier
Do I have to install fire detectors in Wallonia?,Droit financier
Can my owner expel me if I'm late for payment in Brussels?,Droit immobilier
"I'm entitled to legal aid, do I have to pay legal fees?",Droit pénal
What is the fate of the house we bought together?,Droit de la famille
My home is recognized as uninhabitable because of unsanitaryness. How can we know that a home is struck by an uninhabitable order in Wallonia?,Droit immobilier
Who has to pay for the construction of the adjoining wall?,Droit immobilier
I am a major. I have exceptional merits. On what conditions can I apply for Belgian nationality if I claim exceptional merits?,Droit des étrangers
What is a motion?,Droit pénal
Who can apply for the administration of property and/or the person?,Droit de la famille
"If I threaten a passerby to give me his wallet, what do I risk?",Droit pénal
My owner has terminated the lease. Can I leave before the end of his notice period in Brussels?,Droit immobilier
What are the criteria for unsanitaryness?,Droit immobilier
Where and how to announce a birth?,Droit de la protection sociale
Do I have to live forever with my child?,Droit de la famille
What costs can be added during an amicable recovery?,Droit financier
What is a remission?,Droit pénal
"If my son is still in the first place, do I still have to pay the food contribution?",Droit de la famille
Do I benefit from my spouse's inheritance?,Droit de la famille
"If I mishandle my money, can I be put under property administration?",Droit de la famille
The parents are not married together. The mother of the child is married to someone other than the father. Can I be forced to establish a father-child relationship if the mother is married to someone else?,Droit de la famille
When should I tell my employer that I'm pregnant?,Droit du travail
I address the justice of the peace and I think my accommodations are unsanitary.,Droit immobilier
Can I build a concrete slab against the adjoining wall?,Droit immobilier
I'm a parent. I have extraordinary expenses to come for my child. Do I have to ask for my ex-wife's consent?,Droit de la famille
What income is considered for legal aid if I live with my children?,Droit pénal
What if I get caught stealing an i-pod from a passerby's pocket?,Droit pénal
Can I end my student lease without notice or compensation if it's not registered?,Droit immobilier
I am an adult and was born in Belgium.,Droit des étrangers
I was sentenced to a prison sentence.,Droit pénal
What if the owner abuses access in Wallonia?,Droit immobilier
Can I ask for a reduction in rent if my owner works in my home?,Droit immobilier
What is a motion?,Droit pénal
Can this offer to pay without prosecution be made for any offence I have committed?,Droit pénal
Am I paid during the reintegration process?,Droit de la protection sociale
Is there a right to a birth allowance in case of a stillborn in Wallonia?,Droit de la protection sociale
Can an elderly person who no longer has his or her entire head be subjected to observation?,Droit de la famille
"If I am his biological father but not legal, can I be asked for financial assistance for the child?",Droit de la famille
"When should I return to work after maternity leave, and what steps should I take?",Droit de la famille
"If I don't respect the decision, what's my risk?",Droit pénal
What if my kids don't allow me to see my grandsons?,Droit de la famille
Can my possessions be taken away?,Droit financier
"If I need money, who is a victim of domestic violence?",Droit de la famille
Do I have to install fire detectors in Wallonia?,Droit immobilier
I am an adult. I have been in Belgium for at least 10 years. Can I bring an action in the event of a negative opinion concerning my application for nationality?,Droit des étrangers
What happens to the lease in the event of the tenant's death in Brussels?,Droit immobilier
Who is in charge of the budget of the protected person?,Droit de la famille
What are the planting distances of my neighbor's tree?,Droit immobilier
I receive the confidences as a professional. Do I have to report a situation of child abuse?,Droit du travail
Do I need a lawyer when I'm summoned to court?,Droit pénal
May I refuse this criminal transaction?,Droit pénal
I receive the confidences as a professional.,Droit du travail
How can we challenge the buyer's proposed value for ownership?,Droit immobilier
Do I have to pay to file a complaint?,Droit financier
What is the criminal transaction?,Droit pénal
The protection of vulnerable people?,Droit financier
The owner doesn't react when I contact him about my accommodation being unsanitary.,Droit immobilier
Is it possible for me to ask that certain records be removed from my criminal record?,Droit pénal
How am I going to receive the court decision?,Droit pénal
I wish to divorce by mutual consent. Can I apply for alimony from my husband/wife?,Droit de la famille
"As a victim of domestic violence, can I ask for the exclusive accommodation of my children?",Droit de la famille
"I'm summoned to court, what to do?",Droit pénal
I don't work and I live with my parents.,Droit financier
How to distribute the charges among the different tenants of a condominium in Wallonia?,Droit immobilier
Who is supposed to pay my debt?,Droit financier
What are the consequences of our separation on our rights and duties to one another as a legal cohabitant?,Droit de la famille
Can I ask for a reduction in rent?,Droit immobilier
"I'm not paying for my parking, am I going to be fined?",Droit financier
What is the cost of a collective debt settlement (CDR) procedure?,Droit financier
What happens if I don't pay the criminal fine set out in the judgement?,Droit pénal
I divorce. I divorce by mutual consent. How is the divorce procedure by mutual consent?,Droit de la famille
I rent an apartment or a house and I have to pay the costs of the deportation procedure in Wallonia.,Droit immobilier
What is the timetable for the exchange of conclusions?,Droit pénal
Who has to pay the rent?,Droit de la famille
How to allocate the charges between the different tenants of a condominium in Brussels?,Droit immobilier
What is the mission of the Property Administrator?,Droit de la famille
"My friend claims a verbal lease exists between us, what can I do?",Droit immobilier
Can the CPAS help me create a rental guarantee in Brussels?,Droit immobilier
What is a seizure?,Droit financier
Do I still qualify for legal aid if my financial situation improves during the proceedings?,Droit pénal
Who exercises parental authority if none of the parents can make decisions?,Droit de la famille
I want to know my last wishes for my funeral.,Droit financier
"A minor signed a lease agreement, what is the value of this contract in Wallonia?",Droit immobilier
Who can be designated as an administrator of property?,Droit de la famille
"We split up, what's the fate of the house we bought together?",Droit de la famille
I divorce because of irremediable disunion.,Droit de la famille
The limitation period for criminal fines begins at what point?,Droit pénal
Can I be expelled if I do not comply with the internal rules of my social housing in Wallonia?,Droit immobilier
What if I disagree with the CPAS decision in Brussels?,Droit immobilier
When should I notify my employer of my pregnancy?,Droit de la protection sociale
What is the rent revision in the city?,Droit immobilier
We're legal cohabitants who have to pay off the mortgage credit.,Droit de la famille
Can I be kicked out of Belgium if I go to get married?,Droit des étrangers
I live with my family in Belgium and I'm getting married.,Droit des étrangers
I was sentenced to a prison sentence.,Droit pénal
What if the owner abuses access in Wallonia?,Droit immobilier
Do I have to help my spouse?,Droit de la famille
"I get married, but what if I don't have a birth certificate?",Droit des étrangers
I'm a parent. My ex doesn't pay the food contributions fixed in a judgment for ten years. Can I still claim them?,Droit de la famille
I'm a parent. Does alternative accommodation prevent the payment of a maintenance contribution?,Droit de la famille
What if I was given credit without checking my financial capabilities?,Droit financier
When can I get the rental guarantee in Brussels?,Droit immobilier
"If I'm a legal cohabitant, can I leave family housing without losing my rights?",Droit de la famille
How am I responsible for my child?,Droit de la famille
"My neighbor makes a lot of noise, what to do?",Droit immobilier
What are the revenues taken into account for legal aid if I live alone?,Droit pénal
What is a consumer credit?,Droit financier
Is the expulsion interrupted if I am in the RCD?,Droit immobilier
"I'm getting married, what type of marriage do I want?",Droit de la famille
Can I ask to change a decision to house my children?,Droit de la famille
Do I have to install fire detectors in Wallonia?,Droit immobilier
How can I organize my protection measure?,Droit de la famille
In what cases can the CPAS ask me to repay the RIS I received?,Droit de la protection sociale
The parents are not married.,Droit de la famille
I am hosting a friend/friend. Can I host my friend in exchange for a financial contribution?,Droit immobilier
Can we seize or confiscate my parents' car that I use for cannabis trafficking?,Droit pénal
I think my accommodation is unsanitary. I address the justice of the peace. What are the means available to the judge to see the state of the accommodation?,Droit immobilier
Can my administrator forbid me to drive?,Droit de la famille
I'm a witness to an offence. Do I have to report/reveal to the police what I'm witnessing?,Droit pénal
"If we are legal cohabitants, do we need to open a common account?",Droit de la famille
Is it possible to have a free first legal advice?,Droit pénal
"I don't agree with the state of affairs, what should I do?",Droit immobilier
Does the Seniors Assistance Allowance (APA) decrease if I live with other people?,Droit de la protection sociale
Do I have to install fire detectors in the city?,Droit immobilier
I am summoned to court. I do not agree with the decision: what to do?,Droit pénal
Is it possible for my owner to end the short-term lease before the end of the year?,Droit immobilier
Can a bond of filiation between a mother/father and her child be cancelled?,Droit de la famille
Do I have to live under the same roof as my legal cohabitant?,Droit de la famille
What do I risk if I occupy a house without permission (squat) in Brussels?,Droit immobilier
"As a legal cohabitant, what are the consequences of our separation on our rights and duties to one another?",Droit de la famille
"I'm an adult, and I'm putting on exceptional merits. How can I apply for naturalization on the basis of exceptional merits?",Droit des étrangers
"I receive the confidences as a professional. Can I raise the secret for a ""case concertation""?",Droit du travail
"My spouse just died, what are my rights in his estate?",Droit financier
Can roommates end their official rental lease before the deadline?,Droit immobilier
"When a person is protected, what happens?",Droit de la famille
I live with my family in Belgium.,Droit des étrangers
Do I have to pay anything if I bring an action before the Labour Court against the CPAS decision?,Droit de la protection sociale
Is a 9-year lease in Brussels considered a lease?,Droit immobilier
What if I disagree with another judge's decision?,Droit financier
I receive the confidences as a professional.,Droit du travail
What is the difference between tax and royalty?,Droit financier
I divorce. I divorce by mutual consent. When will we be officially divorced (divorce by mutual consent)?,Droit de la famille
"I receive the confidences as a professional. Can I raise the secret for a ""case concertation""?",Droit du travail
I'm a victim of domestic violence. What's going to happen after I file a complaint about domestic violence?,Droit de la famille
When can the justice of the peace end the lease?,Droit immobilier
What can I do to get out of this situation?,Droit de la famille
I'm married. We're married. Who owns the car?,Droit de la famille
"If neither I nor the mother are married, what steps are taken to be recognized as the father of my child?",Droit de la famille
Is there a right to a birth allowance in case of miscarriage or stillborn in Wallonia?,Droit de la protection sociale
Can I suspend the payment of rents in Wallonia?,Droit immobilier
When do I have to pay the criminal fine?,Droit pénal
Do I have to pay the costs of justice if I dispute a decision of a social security agency in Wallonia?,Droit immobilier
Is there a right to a birth allowance in case of a stillborn?,Droit de la protection sociale
I signed a declaration of legal cohabitation. Do I have to help my legal cohabitant if he is in need?,Droit de la famille
I signed a declaration of legal cohabitation. We are legal cohabitants. Do I have to recognize our child?,Droit de la famille
I get the confidences as a professional. Can I be accused of being unhelpful to anyone in danger if I keep quiet?,Droit du travail
"I'm a victim of domestic violence, a victim of domestic violence, to whom if I need money?",Droit de la famille
When will we take a look at the situation in Brussels?,Droit immobilier
I'm in an illegal stay in Belgium.,Droit des étrangers
How can I make a donation?,Droit financier
Can the owner increase the rent of my student lease in Brussels?,Droit immobilier
What is the difference between self-employment and community service?,Droit pénal
Do I have to install fire detectors in the city?,Droit immobilier
Can you change your property administrator and/or person?,Droit de la famille
What is the state of play in the Belgian capital?,Droit immobilier
Under what conditions do I qualify for the Elderly Assistance (APA) allowance?,Droit de la protection sociale
What is the role of the seizing judge?,Droit financier
"I was sentenced to pay a criminal fine, when do I have to pay it?",Droit pénal
"If I live with my partner but I don't sign the lease, can the owner ask me to pay the rent?",Droit immobilier
How long is my debt to my friend prescribed?,Droit financier
How is the procedure for the reintegration journey going?,Droit du travail
I'm bringing a case to court.,Droit pénal
How can we put an end to the joint lease in Brussels?,Droit immobilier
The parents are not married together. Can I be asked for financial assistance for the child if I am his biological father but not legal?,Droit de la famille
"I'm a parent. I stop paying the food contribution, do I have to sign this somewhere?",Droit de la famille
"As a legal cohabitant, what are the consequences of our separation on our property?",Droit de la famille
"I'm getting married, on what terms can I get married in Belgium?",Droit de la famille
"If I feel that the measures taken by the family judge are unfair, what should I do?",Droit de la famille
Can I give my belongings to my goddaughter?,Droit financier
"If I'm a foreigner and my marriage is delayed, what happens?",Droit des étrangers
What if I don't have a birth certificate for my application for citizenship?,Droit des étrangers
"Before the divorce is pronounced, may I ask the family court for custody of the children?",Droit de la famille
I think my place is unsanitary. I'm talking to the police because I'm the victim of a sleep merchant. What is a sleep merchant?,Droit immobilier
I don't know how I will receive the court decision.,Droit pénal
I rent a caravan in a year-round campsite. What rules apply to my lease in Brussels?,Droit immobilier
Is there a way to draft an inventory in Brussels?,Droit immobilier
Who can challenge maternity and paternity within what period?,Droit de la famille
Is it possible that I disinherit my children?,Droit financier
"As a perpetrator of domestic violence, what can I do to get out of this situation?",Droit de la famille
Can my owner expel me if I'm late for payment in Wallonia?,Droit immobilier
I don't work and I live in a co-location.,Droit financier
How much do I have to pay to bring legal proceedings?,Droit pénal
May I report an offence that I am a witness to the Public Prosecutor's Office?,Droit pénal
"I'm getting married, what kind of marital regime do I choose?",Droit de la famille
The protection of vulnerable people?,Droit de la protection sociale
"If my child causes an accident with my car, what will happen?",Droit financier
Do I have to appear at the hearing before the police court?,Droit pénal
I bail for a person who is in debt settlement.,Droit financier
I'm a victim of domestic violence.,Droit de la famille
What are the consequences of our separation from our children?,Droit de la famille
What is a transfer of remuneration?,Droit financier
The child should be declared to the commune.,Droit de la protection sociale
A person under judicial protection?,Droit immobilier
Can I change my will?,Droit financier
Who decides my punishment if I get caught with cannabis on me?,Droit pénal
What rights do I have if I return to part-time work?,Droit de la protection sociale
How can I organise my future protection measure (extra-judicial protection)?,Droit de la famille
What is a remission?,Droit pénal
Can I be expelled in the winter?,Droit financier
What happens if my income is seized and I have other debts?,Droit financier
What steps do I need to take to get married?,Droit de la famille
How's the separation procedure going in the family court?,Droit de la famille
"We are not married, what name will our child bear if his father recognizes him after he has been declared to the commune?",Droit de la famille
What is the use of the rental guarantee?,Droit immobilier
I am a guardian. What responsibility(s) can I incur as a guardian in relation to MENA?,Droit des étrangers
I am an adult. I have been in Belgium for at least 5 years. How is the procedure for applying for nationality going?,Droit des étrangers
Who's going to execute the judgment?,Droit financier
Who is covered by the Family RC Insurance?,Droit financier
"What is meant by ""repairs made necessary by oldness, normal wear and tear or force majeure"" in Brussels?",Droit immobilier
What costs can the hospital add to my bill?,Droit financier
Do I still have to pay a food contribution if I don't have contact with my children?,Droit de la famille
"I signed a declaration of legal cohabitation. In legal cohabitation, who has to pay the refund of the car loan?",Droit de la famille
What is rent indexation in Brussels?,Droit immobilier
How can the owner terminate the student lease in Brussels?,Droit immobilier
How do I register as a legal cohabitant in Belgium?,Droit des étrangers
Is it possible to break the lease in Brussels if my owner works in my home?,Droit immobilier
Is it possible to sign short-term leases in Brussels?,Droit immobilier
"The parents are not married together. The mother of the child is married to someone other than the father. What steps to recognize the child if the mother of the child and her husband reside together or, separated, are domiciled at the same address?",Droit de la famille
The child's father and mother reside separately. Who can make decisions about the child if the parents are separated?,Droit de la famille
I get the confidences as a professional. What if I'm not sure I'm in the conditions to lift the professional secrecy?,Droit du travail
How can we end the joint lease in Brussels?,Droit immobilier
I am married. Do I have to help my spouse if he or she is in need?,Droit de la famille
Can I divorce my husband if I am a victim of domestic violence?,Droit de la famille
"If my financial situation improves during the proceedings, do I still qualify for legal aid?",Droit pénal
"I have a procedure in Dutch, what to do?",Droit pénal
I live with my family in Belgium. I get married. Can I be expelled if I go to the commune to get married?,Droit des étrangers
The procedure for collective settlement of debts can be revoked in some cases.,Droit financier
How is the expulsion going?,Droit immobilier
Can a single roommate terminate the unofficial lease of co-location before maturity in Wallonia?,Droit immobilier
Is it possible to change a decision to house my children?,Droit de la famille
Who can be designated as an administrator of property and/or person?,Droit de la famille
The company is located in Belgium.,Droit financier
Is the work sentence paid?,Droit pénal
Who can the judge appoint as a debt mediator?,Droit financier
"As a legal cohabitant, can the family judge force one of us to leave the house?",Droit de la famille
I'm a tenant.,Droit financier
What are the risks of occupying a house without permission in Wallonia?,Droit immobilier
Can the protected person make a will?,Droit de la famille
I think my accommodation is unsanitary. I address the Walloon Region or the competent municipality with a view to carrying out a health and overcrowding survey. What are the consequences of the result of the survey in Wallonia?,Droit immobilier
What steps should I take if I cause damage?,Droit financier
What happens if I don't do my job right?,Droit pénal
Who pays the lawyer's fee?,Droit pénal
I divorce because of irretrievable disunity.,Droit de la famille
How much is an appeal against a court decision?,Droit pénal
What happens if I don't do my job properly?,Droit pénal
"We're married, what name will our child bear?",Droit de la famille
I don't know what my rights are in his estate.,Droit financier
I'm married and I don't know if I have to recognize my child.,Droit de la famille
What lease is considered a 9-year lease in Brussels?,Droit immobilier
What if my opponent doesn't respect the court decision?,Droit pénal
What rules apply to my lease in Wallonia?,Droit immobilier
How long is my debt prescribed?,Droit financier
Do you need a permit for a co-location?,Droit immobilier
I am illegally staying in Belgium (without papers).Can I be expelled if I go to the commune to get married?,Droit des étrangers
I don't know how my loved ones will find my will after I die.,Droit financier
How to recover the rental guarantee in Brussels?,Droit immobilier
My financial situation has improved. Am I still entitled to legal aid?,Droit pénal
"My neighbor's tree is over 30 years old, can I ask for his grubbing-up?",Droit immobilier
What if a new creditor manifests itself in the process of collective settlement of debts?,Droit financier
How long is my food contribution debt?,Droit financier
"If I don't pay my consumer credit, can we take my car back?",Droit financier
Do I have to pay anything if I bring an action against the CPAS decision?,Droit de la protection sociale
How can we end the joint lease in Brussels?,Droit immobilier
"If I disagree with the plan, what can I do?",Droit financier
"My friend lives at home and pays for it, may I ask him to leave?",Droit immobilier
Parents are not married together. Can I recognize my child before she is born and how to do it?,Droit de la famille
What happens if we delay the celebration of my marriage?,Droit de la famille
Can I appeal in case of a negative opinion on my application for nationality?,Droit des étrangers
"If I don't sign the lease agreement, can my companion put me at the door?",Droit immobilier
I divorce. I divorce because of irretrievable disunity. We agree to divorce. What grounds for irretrievable disunity can justify our desire to divorce?,Droit de la famille
How can I protect myself from the damage done by my child?,Droit de la famille
I think my accommodation is unsanitary. I contact the owner. My accommodation is unsanitary and the owner does not react. Can I suspend the payment of rents in Wallonia?,Droit immobilier
What is the priority when it comes to reimbursement?,Droit financier
I am a parent. Can the employer of my ex pay me directly the maintenance contribution (delegation of sums)?,Droit de la famille
Can I get help from CPAS to pay my water bill in Wallonia?,Droit financier
Can we claim rent from a roommate?,Droit immobilier
Can my owner terminate the nine-year lease to personally occupy the accommodation in Brussels?,Droit immobilier
"If I am a owner, can I benefit from legal aid?",Droit pénal
To whom should a problem arise in the execution of the work sentence?,Droit pénal
I make sure the owner got a rental permit. How do I get a rental permit in Wallonia?,Droit immobilier
Does the collective settlement of debts prevent me from earning money?,Droit financier
How do you calculate the amount that can be seized if I collect several types of income?,Droit financier
Will the police judge decide on my guilt and penalties at the first hearing?,Droit pénal
"I'm a parent. Does the biological father, but not legal, have to pay a maintenance contribution for my child?",Droit de la famille
Can I be required to administer property and/or the person?,Droit de la famille
I am an adult. I am married to a Belgian. Under what conditions can I apply for Belgian nationality if I am married to a Belgian?,Droit des étrangers
What measures can the family judge take for our property and debts as a legal cohabitant?,Droit de la famille
Before which court should the appeal be lodged against the decision of the CPAS?,Droit de la protection sociale
Can my owner do any work while I'm in Brussels?,Droit immobilier
How can I prove that I am not responsible as a parent for the acts committed by my minor child?,Droit de la famille
What are the different accommodation options for children?,Droit de la famille
I am an adult. I am married to a Belgian. How is the procedure for applying for nationality going?,Droit des étrangers
I make sure the owner has a permit.,Droit immobilier
I was sentenced to pay my debt.,Droit financier
"As a victim of domestic violence, can I divorce if my husband refuses?",Droit de la famille
Can I not pay my last 2 months of rent to make sure I recover the rental guarantee in Brussels?,Droit immobilier
Do I have to live with my child forever?,Droit de la famille
How can I challenge my water bill in Wallonia?,Droit financier
What if I split up or divorce in my collective debt settlement?,Droit financier
I'm moving into life. I live in a co-location. I don't work. How can I dispute the amount I have to pay?,Droit financier
Can I ask to change a decision to house my children?,Droit de la famille
I am an adult. I am disabled. How is the procedure for applying for nationality going?,Droit des étrangers
What is the use of urgent and temporary measures?,Droit de la famille
"The child's father and mother reside together. Do the school, doctor, etc. still have to ask for the consent of both parents for decisions concerning the child?",Droit de la famille
Does the criminal fine stop after a certain period of time?,Droit pénal
How can we put an end to the joint lease in Brussels?,Droit immobilier
I'm an adult. I'm disabled. What if I don't have a birth certificate for my application for citizenship?,Droit des étrangers
"What happens if I work full-time, or I'm unable to work, or I'm in electronic surveillance?",Droit pénal
Can we seize my furniture for my roommate's debts in Brussels?,Droit immobilier
Can I suspend the payment of my rent if my owner doesn't make the necessary repairs?,Droit immobilier
Can my owner terminate the lease to sell the accommodation I occupy in Brussels?,Droit immobilier
How long after my application for collective settlement of debts is filed will I have the judge's answer?,Droit financier
What is the use of the rental guarantee in Brussels?,Droit immobilier
"The parents are married together. We are separated, will I be recognized as the child's father?",Droit de la famille
Is my lease an official rental lease in Brussels?,Droit immobilier
What are the consequences of the Wallonia investigation?,Droit immobilier
"Two years after my lease ends in Wallonia, can the owner send me a bill of charges?",Droit immobilier
I divorce because of irretrievable disunity.,Droit de la famille
I have been in Belgium for at least 5 years.,Droit des étrangers
Is it possible to have my trusted person nominated in advance?,Droit de la famille
What documents do I have to hand over in order to get married?,Droit de la famille
"In case of exceptional expenses in the collective settlement of debts, what to do?",Droit financier
"If I am entitled to legal aid, do I have to pay anything?",Droit pénal
I'm married. We're married. Can one of us put the other at the door?,Droit de la famille
The child's father and mother reside separately. Do third parties still have to ask for the consent of both parents?,Droit de la famille
When is there a guardian?,Droit de la famille
When can the justice of the peace terminate the lease in Brussels?,Droit immobilier
I live with my family in Belgium.,Droit des étrangers
Can I not pay my last two months of rent in order to get the rental guarantee?,Droit immobilier
Is the collective settlement of debts suspending interest?,Droit financier
"If we are separated, which parent is responsible for our child's actions?",Droit de la famille
Can I challenge the decision of the doctor-counsel?,Droit de la protection sociale
I don't know where I will have to work for my work sentence.,Droit pénal
What if I can't agree with the other parent on something?,Droit de la famille
Can my owner raise the rent after doing some work?,Droit immobilier
Can I challenge the court's decision if I disagree?,Droit de la protection sociale
Can I bring an action in the event of a negative opinion regarding my application for nationality?,Droit des étrangers
I am married. Do the property I owned before marriage become common?,Droit de la famille
Is there an obligation to denunciate as a civil servant?,Droit du travail
What procedure does the CPAS have to follow to recover social assistance?,Droit de la protection sociale
Can I appeal if my marriage is not accepted?,Droit des étrangers
Is my child covered if they commit an intentional act?,Droit financier
Is it possible to change a decision to house my children?,Droit de la famille
I am illegally staying in Belgium (undocumented). I am in an illegal stay. Can I recognize my child in Belgium?,Droit des étrangers
I'm becoming a legal cohabitant.,Droit de la famille
I'm a parent. Do I still have to pay the maintenance contribution if my adult child leaves the house?,Droit de la famille
Is it possible for my owner to claim rent arrears in Brussels?,Droit immobilier
Can I appeal in the event of a negative opinion on my application?,Droit des étrangers
What is the duration of a student lease in Brussels?,Droit immobilier
What is the cost of amicable debt mediation?,Droit financier
How can we end the joint lease in Brussels?,Droit immobilier
"If I'm kicked out, what about my furniture?",Droit immobilier
Do we have to open a common account if we are married?,Droit de la famille
Can I marry someone of the same sex?,Droit de la famille
I live with my family in Belgium. I'm getting married. Can I get married in Belgium?,Droit des étrangers
I wish to divorce by mutual consent. How do I determine the amount of maintenance?,Droit de la famille
Is the expulsion interrupted if I am in RCD (collective debt regulation) in Wallonia?,Droit immobilier
I signed a declaration of legal cohabitation. What happens if one of the legal cohabitants dies?,Droit de la famille
A criminal record extract is a certificate of good life and morals.,Droit pénal
How do I know the time limit after which my criminal fine is cancelled (time limit)?,Droit pénal
Can we declare my child's birth?,Droit de la protection sociale
What is the role of the seizing judge?,Droit financier
In which cases do I choose divorce because of irremediable disunity?,Droit de la famille
The parents are not married together. Can I be considered the father of my child who died at birth?,Droit de la famille
Which parent is responsible for the actions of our minor child if we are separated?,Droit de la famille
Do I need to stay with my child forever?,Droit immobilier
Can I stop my budget guidance/management?,Droit financier
I am an adult and I was born in Belgium.,Droit des étrangers
The protection of vulnerable people?,Droit financier
I'm a parent and my ex doesn't pay the food contributions fixed in a judgment for ten years.,Droit de la famille
Can my owner expel me if I'm late for payment in Wallonia?,Droit immobilier
What if my opponent doesn't respect the court decision?,Droit pénal
My accommodation is unsanitary and the owner does not react. Can I have the necessary work done and send him the bill in Wallonia?,Droit immobilier
How is the expulsion taking place?,Droit immobilier
Do I have to leave before the expulsion takes place in Brussels?,Droit immobilier
Does the judge decide the conflict from the first hearing?,Droit pénal
I am illegally staying in Belgium (undocumented). I am in an illegal stay. Do I have the right to a lawyer?,Droit des étrangers
How long is my water bill in Brussels?,Droit financier
Can I get all my income if I don't pay my food contribution?,Droit financier
What happens if I stay in the house after the short term lease expires in Brussels?,Droit immobilier
The student lease in Brussels can be terminated by the owner.,Droit immobilier
Is the state of play mandatory in the city?,Droit immobilier
Is collective debt settlement a measure of expulsion?,Droit financier
I made a will. Can I change it?,Droit financier
Can the new owner of the apartment that I rent put me in Brussels?,Droit immobilier
What are the different options for children?,Droit de la famille
Am I entitled to legal aid (ex pro deo) if I am overindebted?,Droit financier
"I'm a parent, my ex doesn't pay the food tax.",Droit de la famille
"Does the biological father, but not legal, have to pay a maintenance contribution for my child?",Droit de la famille
Can I rent or sell our house without my spouse's consent?,Droit de la famille
Can roommates all together terminate the official rental lease before the deadline in Brussels?,Droit immobilier
How to extend or renew a student lease?,Droit immobilier
Can I come to Belgium to make a declaration of legal cohabitation?,Droit des étrangers
Am I entitled to legal aid (ex pro deo) if I am detained or interned?,Droit pénal
Is it possible to be absent from work and go to the doctor?,Droit du travail
Is it possible that I am not included during breastfeeding?,Droit du travail
"As a civil servant, do I have an obligation to denunciate?",Droit du travail
What if I don't get the extension for exceptional circumstances in Wallonia?,Droit immobilier
Am I paid during the reintegration process?,Droit du travail
How and how often do home visits take place in Wallonia?,Droit immobilier
Can I have a bond of filiation with my child if neither I nor the mother are married?,Droit de la famille
Can we take my parents' car that I use for cannabis traffickers?,Droit pénal
Can the administrator choose the residence of his/her protected person?,Droit de la famille
The child should be declared to the commune.,Droit de la famille
I live in a common-law relationship.,Droit de la famille
Am I going to lose my residence permit if I am a victim of domestic violence?,Droit de la famille
I would like to carry out a health and overcrowding survey in the Walloon Region.,Droit immobilier
Can we seize my furniture for my roommate's debts?,Droit immobilier
I don't know if I have to pay a food contribution.,Droit de la famille
